w1	w2	l2
8219	4603936	4612155
8219	21119008	21127227
8219	1441888	1450107
8219	1704224	1712443
8219	1216544	1224763
8219	1441952	1450171
8219	1966112	1974331
8219	1311780	1319999
8219	1065312	1073531
8219	1573216	1581435
8219	1311520	1319739
8219	1575072	1583291
8219	35129376	35137595
8219	1181984	1190203
8219	1443872	1452091
8219	17958944	17967163
8219	51511328	51519547
8219	1835168	1843387
8219	1313056	1321275
8219	18612256	18620475
8219	34605344	34613563
8219	803008	811227
8219	1067200	1075419
8219	786784	795003
8219	16812352	16820571
8219	788800	797019
8219	17303872	17312091
8219	299328	307547
8219	16814400	16822619
8219	17072448	17080667
8219	395584	403803
8219	16910656	16918875
8219	409920	418139
8219	393664	401883
8219	655808	664027
8219	917824	926043
8219	1835328	1843547
8219	33575232	33583451
8219	3396	11615
8219	268608	276827
8219	265536	273755
8219	313408	321627
